output,nstep_coarse,aexp,z,time
580,23180,0.576530035124141,0.7345150106267673,7.217052156275527
581,23194,0.577000302113026,0.7331013455936015,7.224861139628209
582,23207,0.577432062718363,0.7318054617409433,7.231987065340713
583,23235,0.578345209596231,0.7290711212048342,7.247057955866267
584,23245,0.578667215403132,0.7281089603518387,7.252372450589988
585,23263,0.579272432161063,0.726303453228992,7.262351326714957
586,23290,0.580182794063428,0.7235947191682417,7.277261179188003
587,23293,0.580284194453739,0.7232935336820057,7.278921908680671
588,23318,0.581080519499811,0.7209318957393223,7.291964072381358
589,23342,0.581883154247417,0.7185580862765439,7.305050217127205
590,23345,0.581988831435971,0.7182460315134374,7.306767710581336
591,23373,0.582922564972229,0.7154937209329697,7.3220574376938385
592,23392,0.583543828645678,0.7136673389569681,7.332367726566191
593,23401,0.583846619296976,0.7127786081970029,7.337365803189372
594,23427,0.584729567502821,0.7101922932863756,7.351906265664303
595,23442,0.585244365102278,0.708687959473542,7.3603839941737785
596,23454,0.585646711683945,0.7075140695738567,7.367009870226201
597,23482,0.586580905108822,0.7047946690567448,7.382303891050805
598,23492,0.586927242850134,0.7037886930311394,7.387963474368647
599,23508,0.587480844353264,0.7021831598626218,7.397010001668815
600,23535,0.588398238129992,0.69952922221204,7.411965034334083
601,23540,0.588557621454827,0.6990689841517106,7.414549451821141
602,23562,0.589300505604485,0.6969271033871471,7.4267881258697415
603,23588,0.590149610610685,0.6944855711506832,7.440850611911379
604,23590,0.590214940593113,0.6942980111535129,7.441932576991425
605,23618,0.591148805473176,0.6916214508791323,7.4572978806219
606,23637,0.591797237821069,0.6897679409283621,7.467953875659336
607,23645,0.592067665503684,0.6889961372054996,7.472397941494883
608,23672,0.592957430615582,0.6864617059640259,7.486976852076561
609,23686,0.593432880660158,0.6851105366584354,7.494729611832317
610,23698,0.593863112772408,0.6838897356860079,7.501745041199791
611,23725,0.594778746793334,0.6812974663122371,7.516675506912059
612,23730,0.59494034694173,0.680840785366911,7.519303841882484
613,23751,0.595686638249486,0.6787349854592157,7.531606480483166
614,23778,0.596609686922447,0.6761377193830069,7.546863746217715
